First Name,Last Name,Email,Mobile,PNR,Group Pax,Flight number,Date,Class,Origin,Destination,United Miles,Transit,Check in Time,Transit Terminal,Transit Delay,Remarks
aaa,john,A100000@ggg.com,14008900000,34O5ZZ,,1796,24/07/2017,A,SFO,JFK,Premier Platinum,Y,9:30,1,N,CEO
bbb,smith,A100001@ggg.com,14008900001,34OHDT,,1796,24/07/2017,F,SFO,JFK,Premier 1k,N,11:05,,,
ccc,will,A100002@ggg.com,14008900002,34OTGX,,1796,24/07/2017,F,SFO,JFK,Premier 1k,N,11:15,,,
abc,jor,A100003@ggg.com,14008900003,5287Z9,,1796,24/07/2017,F,SFO,JFK,Premier 1k,Y,8:01,2,Y,
juk,johes,A100004@ggg.com,14008900004,528QQA,,1796,24/07/2017,A,SFO,JFK,Premier Platinum,N,11:00,,,
bhe,jones,A100005@ggg.com,14008900005,528REE,,1796,24/07/2017,F,SFO,JFK,Premier 1k,N,10:55,,,
qws,mith,A100006@ggg.com,14008900006,529QYI,,1796,24/07/2017,F,SFO,JFK,Premier 1k,N,11:07,,,
cvb,Johnson,A100007@ggg.com,14008900007,52AC7E,,1796,24/07/2017,F,SFO,JFK,Premier 1k,N,11:35,,,
acd,Williams,A100008@ggg.com,14008900008,52AEXU,,1796,24/07/2017,A,SFO,JFK,Premier Platinum,Y,8:00,2,N,
rty,Jones,A100009@ggg.com,14008900009,52ASFE,,1796,24/07/2017,A,SFO,JFK,Premier Platinum,N,,,,
wed,Brown,A100010@ggg.com,14008900010,52AUJK,,1796,24/07/2017,J,SFO,JFK,Premier Platinum,N,11:35,,,
qsw,Davis,A100011@ggg.com,14008900011,52AVH9,,1796,24/07/2017,C,SFO,JFK,Premier Platinum,N,11:21,,,
tgth,Miller,A100012@ggg.com,14008900012,52AWVW,,1796,24/07/2017,D,SFO,JFK,Premier Platinum,N,11:10,,,
efef,Wilson,A100013@ggg.com,14008900013,52C6TB,,1796,24/07/2017,Z,SFO,JFK,Premier Platinum,N,11:00,,,
pol,Moore,A100014@ggg.com,14008900014,52CCQ2,,1796,24/07/2017,P,SFO,JFK,Premier Platinum,N,11:00,,,
pal,Taylor,A100015@ggg.com,14008900015,52CCX4,Y,1796,24/07/2017,c,SFO,JFK,,Y,7:45,2,N,Physically challenged
ni,Taylor,A100015@ggg.com,14008900015,52CCX4,Y,1796,24/07/2017,C,SFO,JFK,Premier Platinum,N,10:45,,,
jly,Thomas,A100017@ggg.com,14008900017,52CDR9,,1796,24/07/2017,D,SFO,JFK,Premier Platinum,N,10:55,,,
aly,Jackson,A100018@ggg.com,14008900018,52CM4R,,1796,24/07/2017,Z,SFO,JFK,Premier Silver,N,10:58,,,
wlg,White,A100019@ggg.com,14008900019,52D2OU,,1796,24/07/2017,J,SFO,JFK,Premier Gold,N,,,,
aa,Harris,A100020@ggg.com,14008900020,52EB8N,,1796,24/07/2017,J,SFO,JFK,Premier Silver,N,11:30,,,
bb,Martin,A100021@ggg.com,14008900021,52EGSF,,1796,24/07/2017,J,SFO,JFK,Premier Gold,N,11:00,,,
vcv,Thompson,A100022@ggg.com,14008900022,52EJRS,,1796,24/07/2017,C,SFO,JFK,Premier Silver,N,10:45,,,
red,Garcia,A100023@ggg.com,14008900023,52EK25,,1796,24/07/2017,C,SFO,JFK,,Y,7:45,2,N,unaccompanied minor
blue,Martinez,A100024@ggg.com,14008900024,52EO2Z,,1796,24/07/2017,C,SFO,JFK,,Y,8:31,1,Y,
green,Robinson,A100025@ggg.com,14008900025,52ESSP,,1796,24/07/2017,D,SFO,JFK,,Y,7:30,2,N,
orange,Clark,A100026@ggg.com,14008900026,52ETNJ,,1796,24/07/2017,D,SFO,JFK,Premier Silver,N,10:33,,,
blue,Rodriguez,A100027@ggg.com,14008900027,52EU3E,,1796,24/07/2017,D,SFO,JFK,Premier Silver,N,10:15,,,
tup,Lewis,A100028@ggg.com,14008900028,52FBWW,,1796,24/07/2017,Z,SFO,JFK,Premier Gold,N,10:40,,,
rio,Lee,A100029@ggg.com,14008900029,52FBWW,,1796,24/07/2017,Z,SFO,JFK,Premier Silver,N,,,,
a,Walker,A100030@ggg.com,14008900030,Y7H9AR,,1796,24/07/2017,Y,SFO,JFK,,N,11:00,,,
b,Hall,A100031@ggg.com,14008900031,Y7HHJN,,1796,24/07/2017,B,SFO,JFK,,N,10:45,,,
c,Allen,A100032@ggg.com,14008900032,Y7HINV,,1796,24/07/2017,M,SFO,JFK,,N,10:45,,,
d,Young,A100033@ggg.com,14008900033,Y7IIEB,,1796,24/07/2017,U,SFO,JFK,Premier Silver,N,10:45,,,
efef,King,A100034@ggg.com,14008900034,Y7JJS9,Y,1796,24/07/2017,E,SFO,JFK,Premier Silver,N,10:45,,,
f,King,A100034@ggg.com,14008900034,Y7JJS9,Y,1796,24/07/2017,H,SFO,JFK,Premier Silver,N,10:45,,,
green,Wright,A100036@ggg.com,14008900036,Y7JR9S,,1796,24/07/2017,Q,SFO,JFK,Premier Silver,N,10:45,,,
h,Lopez,A100037@ggg.com,14008900037,Y7K56W,,1796,24/07/2017,V,SFO,JFK,Premier Silver,N,10:45,,,
j,Hill,A100038@ggg.com,14008900038,Y7K72U,,1796,24/07/2017,W,SFO,JFK,Premier Silver,N,10:45,,,
k,Scott,A100039@ggg.com,14008900039,Y7KPQV,,1796,24/07/2017,S,SFO,JFK,Premier Silver,N,10:45,,,
l,Green,A100040@ggg.com,14008900040,Y7KYOW,,1796,24/07/2017,T,SFO,JFK,Premier Silver,N,10:45,,,
q,Adams,A100041@ggg.com,14008900041,Y3ZVM2,,1796,24/07/2017,L,SFO,JFK,Premier Silver,N,10:45,,,
a,Baker,A100042@ggg.com,14008900042,Y436T7,,1796,24/07/2017,K,SFO,JFK,Premier Silver,N,10:45,,,
z,Gonzalez,A100043@ggg.com,14008900043,Y43H54,,1796,24/07/2017,G,SFO,JFK,Premier Silver,N,10:45,,,
s,Nelson,A100044@ggg.com,14008900044,Y43NEB,,1796,24/07/2017,N,SFO,JFK,,N,11:00,,,
f,Carter,A100045@ggg.com,14008900045,Y43UTR,,1796,24/07/2017,Y,SFO,JFK,Premier Silver,N,11:00,,,
t,Mitchell,A100046@ggg.com,14008900046,Y44ERY,,1796,24/07/2017,B,SFO,JFK,Premier Silver,N,,,,
h,Perez,A100047@ggg.com,14008900047,Y44N3T,,1796,24/07/2017,M,SFO,JFK,Premier Silver,N,9:50,,,
j,Roberts,A100048@ggg.com,14008900048,Y45AW7,,1796,24/07/2017,U,SFO,JFK,Premier Silver,Y,7:30,1,Y,
k,Turner,A100049@ggg.com,14008900049,Y45GN3,,1796,24/07/2017,E,SFO,JFK,Premier Silver,Y,7:45,3,N,
